StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q1
12/7/2024 23:32,12/7/2024 23:38,IP Address,197.185.154.80,100,366,TRUE,12/7/2024 23:38,R_20wsSgNSsGTbTOd,,,,,-26.2309,28.0583,anonymous,EN,I Agree,"Chris Wright, the CEO and founder of Liberty Energy, has been selected by President Donald Trump to be the Secretary of Energy. Wright has experience in different areas of energy, like nuclear, solar, geothermal, and oil and gas. He is known for helping lead the American shale revolution, which made the U.S. more energy independent and changed global energy markets. Wright supports increasing fossil fuel development, including fracking, which fits with Trump’s goal of achieving ""energy dominance"" for the U.S. Some people are concerned about his views because he has spoken out against efforts to fight climate change. If he is confirmed, Wright will be in charge of important programs like the Strategic Petroleum Reserve and overseeing U.S. nuclear weapons. This choice could mean more focus on fossil fuels and less on renewable energy."
12/7/2024 23:33,12/7/2024 23:39,IP Address,41.115.56.136,100,363,TRUE,12/7/2024 23:39,R_85i1V5glP3CPIlz,,,,,-29.8556,31.0449,anonymous,EN,I Agree,"President-elect Donald Trump has announced Chris Wright, CEO and founder of Liberty Energy, as his nominee for Secretary of Energy. Wright, a leading technologist and entrepreneur, has extensive experience in nuclear, solar, geothermal, and oil and gas sectors. He was a key figure in launching the American shale revolution, which played a significant role in achieving U.S. energy independence and reshaping global energy markets. Wright, a staunch advocate of fossil fuel development and fracking, aligns with Trump’s vision of achieving U.S. energy dominance. He has voiced opposition to climate change efforts, emphasizing the role of fossil fuels in alleviating global poverty. If confirmed, Wright will oversee critical Department of Energy responsibilities, including energy diplomacy, the Strategic Petroleum Reserve, nuclear weapons infrastructure, and grants for energy technology. He would succeed Jennifer Granholm, a proponent of renewable energy and electric vehicles."
12/7/2024 23:32,12/7/2024 23:39,IP Address,136.62.168.30,100,412,TRUE,12/7/2024 23:39,R_6eEOZrxEeRpc2uC,,,,,30.2133,-97.8533,anonymous,EN,I Agree,Chris wright was chosen to be the Energy secretary by Donald Trump. He is set to replace Jennifer Granholm. Chris wright according to Donald Trump has worked with oil and gas before. He is infact a supporter of fracking. Chris wright also has been openly against helping stop climate change.
12/7/2024 23:32,12/7/2024 23:41,IP Address,206.83.99.232,100,574,TRUE,12/7/2024 23:41,R_40ud3IddP8j2c8h,,,,,-36.8506,174.7679,anonymous,EN,I Agree,"Chris wright is the recently appointed Energy Secratery for the new Trump administration. He is the anithesis of the current energy secratery who has promoted electric vehicles and supporter of alternate energy sources. Chris Wright does not believe in global warming and supports fracking, ( a controversial method of obtaining gas). He believes that energy and promoting it as a fuel can positively impact businesses and considers that this is a way of encouraging jobs and opportunities for people to work."
12/7/2024 23:32,12/7/2024 23:42,IP Address,94.66.181.90,100,602,TRUE,12/7/2024 23:42,R_8VzBZ55PsPlfku5,,,,,37.9842,23.7353,anonymous,EN,I Agree,"Presiden-elect Donald Trump selected Chris wright to lead the Energy Department. Chris wright has opposed any efforts to face climate change as he is in favor of the use of gas and oil, as opposed to his predecessor Jennifer Graham. Chris Wroght, also CEO of the company Liberty Energy, is expected to fully support Trump's efforts for US energy dominance in the global market. It is sad, however, that people like wright who either can't or do not want to understand the impacts of global climate change will be in charge to such crucial posts as the Energy Department"
12/7/2024 23:32,12/7/2024 23:44,IP Address,41.114.202.108,100,767,TRUE,12/7/2024 23:44,R_8kbtpRzlX5nx9UV,,,,,-34.0486,18.4811,anonymous,EN,I Agree,"Chris wright has worked  in energy for a very long time he is experienced .He has worked on oil, gas thermal and solar energy so President Trump feels like he is a great person for this position.He will be able to work on giving the energy that protects the environment.Trump wants to have loan programs to advance the energy technology in the U.S.The secretary will orversee the nuclear weapons and nuclear energy waste disposals.Chris will replace Jennifer Granholm."
12/7/2024 23:31,12/7/2024 23:45,IP Address,73.142.21.250,100,818,TRUE,12/7/2024 23:45,R_3YbsRjrol8pbUa0,,,,,41.5312,-72.0875,anonymous,EN,I Agree,"Chris wright seems to be a strong proponent of oil and gas. This, we could expect him to back policy changes favoring fossil fuel use to achieve an “energy dominance” for the U.S., and perhaps policy changes that would be unfavorable to the fight against climate change. He markets himself as a tech entrepreneur, though his previous work in the shale revolution does not quite fit the modern day idea of a techy. There is also a piece of rhetoric about the potential for fossil fuel extraction to improve the lives of the global poor, and he promoted this idea perhaps to promote the idea of fossil fuels as a way to promote global economic justice. He has voiced support to end a ban on US natural gas exports at the end of the year, so this is one policy change that one can expect to see in the upcoming Trump Administration."
12/7/2024 23:33,12/7/2024 23:46,IP Address,41.121.2.222,100,779,TRUE,12/7/2024 23:46,R_8pOXKMSQwRT7w65,,,,,-25.7599,28.2604,anonymous,EN,I Agree,Chris wright will have to oversee the aging nuclear weapons and also nuclear energy waste disposal. Chris wright will be joining administration as both Unites States Secretary of Energy and member of the newly formed Council of National Energy. Chris wright is a big supporter of oil and fossil that makes him a good candidate. Chris wright has been one of the loudest voices against efforts to fight climate change. Chris wright says that he could give fossil fuels a boost. . 
12/7/2024 23:33,12/7/2024 23:46,IP Address,177.226.124.23,100,814,TRUE,12/7/2024 23:46,R_6qn49CoigualTYE,,,,,21.5194,-104.9297,anonymous,EN,I Agree,"Well this secretary choice seems to be a threat for climate change, it’s like they plan on keep going backwards his background seems old and outdated hope he has been updated and informed about the critical issues on his field and implements the best possible solutions for this problem."
12/7/2024 23:32,12/7/2024 23:48,IP Address,41.113.81.69,100,913,TRUE,12/7/2024 23:48,R_26b71UfnS2Cctm9,,,,,-26.2309,28.0583,anonymous,EN,I Agree,"Chris wright is Donald Trump’s choice for Energy secretary. Chris Wright is also a fossil fuel executive and also a strong supporter of oil and gas development. Wright promotes the idea that more fossil fuel production can lift people out of poverty around the globe. Donald Trump has announced that Chris Wright, who is also the CEO and founder of Liberty Energy, will lead the Department of Energy in his new administration. Wright will replace Jeniffer Granholm, a supporter of electric vehicles, emerging energy sources like geothermal power and a backer of carbon-free wind, solar and nuclear energy, if confirmed by the Senate."
12/7/2024 23:32,12/7/2024 23:48,IP Address,41.56.137.75,100,976,TRUE,12/7/2024 23:48,R_8mhIW7ZjOS2otTH,,,,,-34.0486,18.4811,anonymous,EN,I Agree,"Chris wright is a strong supporter of oil and gas development including fracking. Chris wright is one of the loudest voices opposing the fight against climate change. He believes that promoting fossil fuel production can reduce poverty around the globe. Chris wright was selected by president-elect Donald Trump to be the Energy Secretary in the new administration. Chris Wright will replace Jennifer Gronholm.The Energy secretary oversees the aging U.S. nuclear weapons complex, nuclear energy waste disposal, and 17 national labs. "
12/7/2024 23:33,12/7/2024 23:48,IP Address,2.135.64.180,100,910,TRUE,12/7/2024 23:48,R_8oXXGK0USHfssI0,,,,,43.2433,76.8646,anonymous,EN,I Agree,"Trump is about to appoint Chris Wright as his Energy Secretary. Him being one of the industry’s loudest voices against efforts to fight climate change, he comes in a stark contrast to the current Energy Secretary, Jenifer Granholm. Unlike Wright, Granholm believed strongly in electric vehicles and emerging alternative sources of energy. Instead, if confirmed we get another Trumpian, who talks about energy independence and lifting some unidentified people from poverty by increasing fossil fuel production."
12/7/2024 23:34,12/7/2024 23:49,IP Address,41.123.66.131,100,947,TRUE,12/7/2024 23:49,R_2pfR2erDlXWT5Op,,,,,-29.8556,31.0449,anonymous,EN,I Agree,"Chris Wright, the CEO and the founder of liberty energy, has been selected by the president trump as the next energy Secretary. Wright has a strong background in the energy industry particularly i. fossil fuels, which has raised concerns about potential conflict of interest. As the head of liberty energy, Wright has been a vocal critic of climate change policies and has promoted the idea that more fossil fuel production can lift people out of poverty worldwide. Wright's selection marks a significant shift in the department of energy's priorities, which under the Biden administration have focused on the renewable energy and reducing carbon emissions. Wright's confirmation is subject to senate approval. "
12/7/2024 23:32,12/7/2024 23:52,IP Address,165.73.42.8,100,1183,TRUE,12/7/2024 23:52,R_8mzqA6FfEzb367N,,,,,-26.1044,28.2521,anonymous,EN,I Agree,Chris wright is a leading technologist and enterpreneur in Energy. Has pioneered launching the American Shale revolution which fueled American Energy indedepence. HE has transformed toe global energy markets and its geopolitics. he is a strong support of oil and gas developments. He believes that fossil fuels and uplift people in the country and globally. he considered himself as a tech nerd and enterpreneur.
12/7/2024 23:32,12/7/2024 23:58,IP Address,189.183.27.97,100,1567,TRUE,12/7/2024 23:58,R_13x1H8fAnxGpCMJ,,,,,19.0478,-98.1889,anonymous,EN,I Agree,"The selection of the energy secretary reflects the lack of relevance Trump gives to climate change. Giving these power to the these people blurs the change to cleaner renovable energy. Fossil oil being the present of one of the most powerful countries gives an idea of how obsolete is their thinking in therms of energy. Fossil fuel, as true as it is that it's still the most reliable source of energy, we all know that it is going to end and with that we're going to do irremediable damage to the planet. "
12/7/2024 23:33,12/8/2024 0:02,IP Address,187.224.4.54,100,1698,TRUE,12/8/2024 0:02,R_3Tvq7BGVxh4GGov,,,,,20.6336,-103.4555,anonymous,EN,I Agree,"It seems that even as Chris wright has already worked and used alternative sources of energy, that are better for the enviorment as geothermal, solar or even nuclear energy (if its manage properly), but he is going to work and invest on oil and fossils either way, making him not the best choice for the energy department in comparison to many other potential candidates, and showing the way that the Trump administration plans on confronting energy matters"
12/8/2024 0:22,12/8/2024 0:26,IP Address,41.150.249.18,100,261,TRUE,12/8/2024 0:26,R_2x5xma6GEj0nTjP,,,,,-25.7599,28.2604,anonymous,EN,I Agree,"Chris Wright, the CEO of Liberty Energy, is Donald Trump's nominee for United States Secretary of Energy. Wright has a strong background in the energy industry, having founded Pinnacle Technologies in 1992, which was involved in commercial shale gas production through fracking ¹. He also founded Liberty Energy in 2011, which is now the second-largest hydraulic fracturing company in North America, valued at $2.8 billion as of February 2023 ¹.  Wright's stance on energy is vastly different from his predecessor, Jennifer Granholm, who supported electric vehicles, emerging energy sources like geothermal power, and carbon-free wind, solar, and nuclear energy. Wright, on the other hand, is a strong supporter of oil and gas development, including fracking, and has been vocal against efforts to fight climate change ¹ ². His nomination has received praise from Republican Senator John Barrasso, who called him an ""energy innovator"" ¹.  As the Secretary of Energy, Wright would oversee the Department of Energy's various responsibilities, including U.S. energy diplomacy, the Strategic Petroleum Reserve, and grant and loan programs for advancing energy technologies ¹. He would also be in charge of the aging U.S. nuclear weapons complex, nuclear energy waste disposal, and 17 national labs.  Some of Wright's notable positions include:  - *Board memberships*: Wright sits on the Board of Directors of Oklo Inc., a next-generation small modular nuclear reactor company, and EMX Royalty Corp., a global mining royalties company ¹ ². - *Climate change*: Wright has expressed skepticism about climate change, stating that ""there is no climate crisis"" and that the climate movement is ""collapsing under its own weight"" ¹. - *Energy policy*: Wright supports expanding access to abundant, affordable, and reliable energy, and has advocated for fossil fuel development ¹ ² ."
12/11/2024 18:25,12/11/2024 18:30,IP Address,172.127.118.22,100,284,TRUE,12/11/2024 18:30,R_139eaadKtmzJiKo,,,,,34.0034,-84.4605,anonymous,EN,I Agree,"Chris Wright is Donald Trump's choice for Energy secretary as he is a fossil fuel executive and a strong supporter of oil and gas development.  The development includes fracking which is a key pillar of Donald Trump's goal for US energy dominance. According to Trump, Wright has been a leading technologist and entrepreneur in Energy.  Wright has worked in Nuclear, Solar, Geothermal, and Oil and Gas.  Also, per Trump, most significantly, Wright was one of the pioneers who helped launch the American Shale Revolution that fueled American Energy Independence and transformed the Global Energy Markets and Geopolitics. "
12/11/2024 18:27,12/11/2024 18:30,IP Address,41.26.191.4,100,175,TRUE,12/11/2024 18:30,R_2eCWWrSr0n8Jqed,,,,,-26.2309,28.0583,anonymous,EN,I Agree,"President-elect Trump selected Chris Wright, CEO and founder of Liberty Energy, to lead the Department of Energy. Wright's experience spans multiple energy sectors, including nuclear, solar, geothermal, and oil and gas. He's known for pioneering the American Shale Revolution, which boosted US energy independence and reshaped global energy markets. As Energy secretary, Wright will oversee US energy diplomacy, the Strategic Petroleum Reserve, and programs advancing energy technologies. Wright's appointment may signal a shift towards fossil fuel development, as he's been vocal against climate change efforts. His confirmation is pending Senate approval, and if approved, he'll succeed."
12/11/2024 18:25,12/11/2024 18:31,IP Address,73.93.162.182,100,333,TRUE,12/11/2024 18:31,R_3QY2qmEY4oyWU6f,,,,,37.8107,-122.2479,anonymous,EN,I Agree,"Chris Wright is a fossil fuel executive that President Trump heavily endorses. Trump is so supportive of Wright because he is one of the main people fighting for a climate change. With the fossil fuel, it is believe that the economy would be better. Climate change would not be as worse as it it. Not only poverty will be lifted up in the United States, but globally as well. "
12/11/2024 18:25,12/11/2024 18:31,IP Address,105.245.160.37,100,355,TRUE,12/11/2024 18:31,R_2FCA4DCOHh75X9B,,,,,-29.8556,31.0449,anonymous,EN,I Agree,"Chris has been leading technologist and entrepreneur energy,he has been one of the industries loudest voices against to fight climate change"
12/11/2024 18:25,12/11/2024 18:32,IP Address,172.248.76.152,100,386,TRUE,12/11/2024 18:32,R_6P7dW14nsNfBFZ0,,,,,34.3077,-118.4287,anonymous,EN,I Agree,"I feel like the selection of Chris Wright was based on an ideology that I would need to see evidence of. The ideology being ""Fossil fuels can actually help the country fight climate change, and climate change isn't that bad of a problem anyways."" If we can see real evidence and proof that that ideology is more true than the side of ""climate change is very real, very serious, and fossil fuels only add to it."", then I can be convinced of this decision. As of now though, I am not seeing that there is evidence for good of using fossil fuel. I can see the other side of it being that it's unrealistic that the rest of the world will stop using fossil fuels, and we can't afford to lose that energy race. That's okay, but to bring on board a staunch climate change denier is a risky move."
12/11/2024 18:25,12/11/2024 18:32,IP Address,51.9.221.6,100,420,TRUE,12/11/2024 18:32,R_8CjsANlrp8uGsCi,,,,,54.5396,-5.975,anonymous,EN,I Agree," Chris had experience  as he worked in Nuclear, Solar, Geothermal, and Oil Gas and is founder of Liberty Energy.He had transformed the Global Energy Markets and Geopolitically. He also the leading technologist of these areas so lot leading experience and with success. He is supporter of oil and gas fracking. ."
12/11/2024 18:25,12/11/2024 18:32,IP Address,189.203.97.225,100,392,TRUE,12/11/2024 18:32,R_79Q876LAgg2lZ8R,,,,,20.6381,-103.348,anonymous,EN,I Agree,"Well, let's start saying that it seems that Wright is a capable person as he has worked in the nuclear, solar, geothermal, oil and gas industry, that means that he knows very well the energy industry, also I believe Trump chose him because the oil and gas still being two important things for the economy even if that means that the country is not seen as a green country."
12/11/2024 18:25,12/11/2024 18:33,IP Address,173.47.88.155,100,459,TRUE,12/11/2024 18:33,R_6mOVNgAS28rXPRk,,,,,42.8851,-112.4441,anonymous,EN,I Agree,"Fossil fuel executive Chris Wright is President Trump's choice for Energy Secretary. As such, he would be a key part in Trump's plan to replenish the Strategic Petroleum Reserve. He has been very vocal and adamant against efforts to cease climate change. He aims to end a year-long pause on natural gas export approvals (via the Biden administration). He is a Denver entreprenear (CEO of Liberty Energy) and he has worked in many energy industries -- including nuclear, solar, geothermal, oil, and gas. His belief is that increased fossil fuel production can lift nations out of poverty."
12/11/2024 18:25,12/11/2024 18:33,IP Address,98.144.129.213,100,497,TRUE,12/11/2024 18:33,R_1aKXPpSM6IPVEaT,,,,,43.0656,-88.145,anonymous,EN,I Agree,"Chris wright's approach to overseeing the Department of Energy will be in stark contrast to Jennifer Granholm's leadership. Wright describes himself as a tech nerd turned entrepreneur. The need for an entrepreneur to lead the Department of Energy, versus someone with a solid understanding of energy and related sciences, is questionable. Based on Trump's goal of establishing the US' energy dominance, I'm concerned there will be complete disregard for the environmental impact of pursuing this goal aggressively.  "
12/11/2024 18:25,12/11/2024 18:34,IP Address,83.106.179.134,100,557,TRUE,12/11/2024 18:34,R_85GDSWDbwd6Vgbf,,,,,52.3958,-1.4796,anonymous,EN,I Agree,Chis Wright is Donald Trump's choice for Energy secretary as Fossil fuel executive. He will replace Jennifer Granholm. Wright has been a leading technologist and entrepreneur in Energy. He will promates the idea that more fossil fuel production can lift people out of poverty around. That seems to be a good program
12/11/2024 18:25,12/11/2024 18:35,IP Address,189.139.11.9,100,625,TRUE,12/11/2024 18:35,R_7zcmAKyhQEfcx8d,,,,,19.6537,-99.2193,anonymous,EN,I Agree,"Chris wright has been selected as secretary of Energy by the elected president Donald Trump. Chris wright is the CEO of Liberty Energy and has been a leading technologist and entrepreneur in Energy, with experience in Nuclear, Solar, Geothermal, Oil and Gas according to elected president. There are concerns regarding the selection due to wright's support for oil, gas and fracking which go against efforts to reduce climate change. wright will also replace, if confirmed by the Senate, Jennifer Granholm whom is a supporter of electric vehicles, alternative energy sources, etc. The selection by president Trump could lead to policies that undermine climate change concerns and continue exploiting fossil fuel sources of energy."
12/11/2024 18:25,12/11/2024 18:38,IP Address,84.174.19.180,100,789,TRUE,12/11/2024 18:38,R_2gLVQW9FhSFPzk5,,,,,52.4732,13.3147,anonymous,EN,I Agree,"Chris wright seems to be a candidate that brings more harm than good to the government of the United States. However, his personality is no strange to the US politics, men like him usually end up on high-profile political positions as time-by-time, many positions are filled by purely business interest. For me, Wright's appointment reeks of business favour being paid back, rather than appointment by professionalism. His policies will hurt the planet and possibly speed up the climate change."
12/11/2024 18:27,12/11/2024 18:38,IP Address,76.187.79.150,100,652,TRUE,12/11/2024 18:38,R_1XgFfHksEC5CV6R,,,,,33.1494,-96.828,anonymous,EN,I Agree,"Donald Trump endorses Chris wright alongside beliefs that climate change is not a directly correlated problem with the USA's heavy usage (and reliance) on fossil fuels. The public opinion of the topic seems to be highly polarized on social medias, and amongst parties. Whether or not climate change will be impacted solely due to the USA not depleting its current resources, that fact is still widely debated amongst primarily conservatives. It is undoubted that usage of fossil fuels allows for the average person to use current technologies at a more accessible rate, thus wright's previous successes in the industry are not unfounded. However, those in opposition to his beliefs and practices may feel as though he has become an active threat against the wellbeing of the current day world. Greenhouse emissions and a lack of sustainable alternatives may be a reason for contesting the choices of Trump, and only time will tell if the effects are as either side have predicted."
12/11/2024 18:33,12/11/2024 18:39,IP Address,184.64.218.141,100,306,TRUE,12/11/2024 18:39,R_7v3b7RTIW0SkVoa,,,,,51.066,-113.6972,anonymous,EN,I Agree,Chris wright is a supporter of fossil energy and believed that more fossil fuel production will lift people out of poverty around the globe. he is the founder of liberty energy and will be secretary of energy member of Council of national energy. He is entrepreneur in energy and tech nerd. He is not a green energy guy and will increase the use of fossil fuel all over the globe.    
12/11/2024 18:25,12/11/2024 18:40,IP Address,41.198.152.251,100,882,TRUE,12/11/2024 18:40,R_8qDTHwXbi5Hb5HH,,,,,-26.2309,28.0583,anonymous,EN,I Agree,"Chris wright is strong supporter of oil and gas development, including fracking, a key pillar of the president-elect’s quest for U.S. 'energy dominance' in the global market. Wright has been one of the industry’s loudest voices against efforts to fight climate change, and he could give fossil fuels a boost, including quick action to end a year-long pause on natural gas export approvals by the Biden administration. The newly-elected president wrote that Wright 'has been a leading technologist and entrepreneur in Energy.' 'He has worked in Nuclear, Solar, Geothermal, and Oil and Gas,' Trump's statement said. 'Most significantly, Chris was one of the pioneers who helped launch the American Shale Revolution that fueled American Energy Independence, and transformed the Global Energy Markets and Geopolitics.'"""
12/11/2024 18:26,12/11/2024 18:41,IP Address,82.183.61.146,100,885,TRUE,12/11/2024 18:41,R_8n6nEK6CVs1e861,,,,,55.7037,13.1946,anonymous,EN,I Agree,"Chris wright is a tech entrepreneur and founder of Liberty Energy. He has experience in many field of energy production but most importantly he launched the american shale revolution and is a proponent of fossil fuel. He believes fosil fuel is the key factor to lift people out of poverty. Donald Trump has chosen Wright as secretary of energy and if Wright is confirmed by the Senate it will likely mean a 180 degrees turn from the policies of Jennifer Granholm, the current Secretary of Energy under the Biden administration. Granholm is an advocate of fosil free energy."
12/11/2024 18:26,12/11/2024 18:43,IP Address,141.138.38.116,100,1040,TRUE,12/11/2024 18:43,R_8Tnp9uery5kpzjx,,,,,45.8293,15.9793,anonymous,EN,I Agree,"President Trump recently commented on a new member of his administration - Christ Wright. Wright, CEO and founder of Liberty energy will occupy two roles at national level in energy sector. As a U.S. Secretary of energy he will also oversee concerns like aging nuclear weapons. According to the statements, he is interested in gas and oil development. He isn't really interested in renewable energy sources and prioritizes money over sustainability. He is proud of being against efforts to stop climate changes.. "
12/11/2024 18:38,12/11/2024 18:43,IP Address,105.245.167.193,100,291,TRUE,12/11/2024 18:43,R_8r0Z6F3YeNIypOY,,,,,-29.8556,31.0449,anonymous,EN,I Agree,"President-elect Trump has selected Chris Wright, CEO and founder of Liberty Energy, to lead the Department of Energy. Wright is a strong supporter of oil and gas development, including fracking, and has been a vocal critic of efforts to combat climate change. His appointment may signal a shift in the country's energy policy, with a focus on fossil fuels and  energy dominance. Wright's experience spans multiple energy sectors, including nuclear, solar, and geothermal.As Energy secretary, he will oversee the Department of Energy's various responsibilities, including energy diplomacy, the Strategic Petroleum Reserve, and national labs. Wright's selection has been announced by President-elect Trump, who praised his experience as a leading technologist and entrepreneur in Energy"
12/11/2024 18:28,12/11/2024 18:47,IP Address,188.251.153.90,100,1144,TRUE,12/11/2024 18:47,R_8kSyIIZoBmWunFg,,,,,41.1459,-8.6169,anonymous,EN,I Agree,"Donald Trump elected Chris Wright (and not White) as Energy secretary. This seems to be because not only is he well-known in the industry, but he also has the same beliefs, regarding climate change and energy production as Donald Trump himself. With this option Trump will be able to, more easily take over the Energy industry according to his own values and what he believes is best for the country, opposed to what happened when Jennifeer Granholm was the Energy secretary."
12/11/2024 18:28,12/11/2024 18:48,IP Address,187.169.63.193,100,1217,TRUE,12/11/2024 18:48,R_7XaEIptuu0dP5jH,,,,,19.3573,-99.0925,anonymous,EN,I Agree,"Chris Wright has been appointed by President-elect Donald Trump as the Secretary of Energy in his upcoming administration. As CEO of Liberty Energy, Wright advocates for fossil fuel development, including hydraulic fracturing, which aligns with Trump’s goal of U.S. ""energy dominance."" His appointment could signal a return to fossil fuels and the resumption of natural gas export approvals that were paused under Biden.  Wright founded Pinnacle Technologies, which advanced shale gas production, and argues that increasing fossil fuel output can help alleviate global poverty. However, environmental advocates have criticized him as a ""champion of dirty fossil fuels,"" warning this may hinder progress toward cleaner energy solutions. If confirmed, he will oversee U.S. energy policy, including nuclear energy and the Strategic Petroleum Reserve."
